SNOMED-CT,NUVA,SNOMED-CT label, NUVA label
SNOMED-CT-30141000087107,VAC1106,"SARS-CoV-2 virus-like particle antigen vaccine","COVID-19 VLP vaccine, unspecified"
SNOMED-CT-318341000221109,VAC0856,"Acellular Bordetella pertussis and Corynebacterium diphtheriae toxoid and Clostridium tetani toxoid and Haemophilus influenzae type b capsular polysaccharide conjugated antigens only paediatric vaccine","Diphtheria (standard dose), tetanus and pertussis (multicomponent acellular, standard dose) and Haemophilus influenzae type b (conjugated, unspecified) DTaPHib vaccine, pediatric"
SNOMED-CT-318351000221106,VAC0551,"Acellular Bordetella pertussis and Clostridium tetani toxoid and Corynebacterium diphtheriae toxoid and inactivated whole Human Poliovirus serotype 1, 2 and 3 antigens only pediatric vaccine product","DTaPIPV vaccine, standard dose, unspecified"
SNOMED-CT-319941000221104,VAC0134,"Bacillus Calmette-Guerin antigen only vaccine product in parenteral dose form","BCG vaccine, unspecified"
SNOMED-CT-37146000,VAC0512,"Typhus vaccine","Typhus vaccine, unspecified"
SNOMED-CT-409568008,VAC0937,"Pentavalent botulinum toxoid vaccine","Botulism vaccine, unspecified"
SNOMED-CT-45861000087106,VAC0154,"Plasmodium falciparum antigen-containing vaccine product","Malaria vaccine, unspecified"
SNOMED-CT-45891000087103,VAC0831,"Live attenuated Zaire ebolavirus antigen only vaccine product","Ebola vaccine, unspecified"
SNOMED-CT-462321000124107,VAC0610,"Low dose acellular Bordetella pertussis and Clostridium tetani and low dose Corynebacterium diphtheriae antigens only vaccine product","Tdap - Diphtheria-Tetanus-Pertussis vaccine, low dose, unspecified"
SNOMED-CT-51311000087100,VAC1431,"Respiratory syncytial virus only vaccine product","RSV vaccine, unspecified"
SNOMED-CT-51451000087105,VAC0997,"Streptococcus pneumoniae Danish serotype 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 23F, capsular polysaccharide conjugated antigens only vaccine product","Pneumococcal 13-valent conjugate vaccine, unspecified"
SNOMED-CT-51591000087104,VAC1118,"Enterovirus A71 antigen only vaccine","Enterovirus A71 vaccine, unspecified"
SNOMED-CT-52821000087108,VAC0866,"Neisseria meningitidis serogroup A capsular polysaccharide conjugated antigen only vaccine product","Meningococcal A conjugate polysaccharide vaccine, unspecified"
SNOMED-CT-601000221108,VAC0795,"Bordetella pertussis antigen-containing vaccine product","Acellular pertussis vaccine, unspecified"
SNOMED-CT-774618008,VAC0136,"Whole cell Bordetella pertussis and Clostridium tetani toxoid adsorbed and Corynebacterium diphtheriae toxoid antigens only vaccine product","DTwP - Diphtheria-Tetanus-Pertussis, unspecified"
SNOMED-CT-775641005,VAC0382,"Clostridium tetani toxoid adsorbed and Corynebacterium diphtheriae toxoid antigens only vaccine product","Tetanus diphtheria vaccine, unspecified"
SNOMED-CT-777725002,VAC0132,"Clostridium tetani toxoid antigen adsorbed only vaccine product","Tetanus vaccine, unspecified"
SNOMED-CT-836368004,#MISS,"Bacteria antigen-containing vaccine product",
SNOMED-CT-836369007,#MISS,"Virus antigen-containing vaccine product",
SNOMED-CT-836374004,VAC1125,"Hepatitis B virus antigen-containing vaccine product","Hepatitis B vaccine, unspecified"
SNOMED-CT-836375003,VAC0102,"Hepatitis A virus antigen-containing vaccine product","Hepatitis A inactivated vaccine, unspecified"
SNOMED-CT-836377006,VAC0110,"Influenza virus antigen-containing vaccine product","Influenza vaccine, unspecified"
SNOMED-CT-836378001,VAC0921,"Japanese encephalitis virus antigen-containing vaccine product","Japanese encephalitis vaccine, unspecified"
SNOMED-CT-836379009,VAC0156,"Human papillomavirus antigen-containing vaccine product","HPV Vaccine"
SNOMED-CT-836380007,VAC0143,"Haemophilus influenzae type b antigen-containing vaccine product","Haemophilus influenzae B (or Hib) vaccine, unspecified"
SNOMED-CT-836381006,VAC0655,"Corynebacterium diphtheriae antigen-containing vaccine product","Diphtheria vaccine, unspecified"
SNOMED-CT-836382004,VAC0114,"Measles morbillivirus antigen-containing vaccine product","Measles live attenuated vaccine, unspecified"
SNOMED-CT-836383009,VAC0144,"Vibrio cholerae antigen-containing vaccine product","Cholera vaccine, unspecified"
SNOMED-CT-836384003,VAC0804,"Bacillus anthracis antigen-containing vaccine product","Anthrax vaccine, unspecified"
SNOMED-CT-836385002,VAC0111,"Yellow fever virus antigen-containing vaccine product","Yellow fever vaccine, unspecified"
SNOMED-CT-836387005,VAC0158,"Rotavirus antigen-containing vaccine product","Rotavirus vaccine, unspecified"
SNOMED-CT-836388000,VAC0113,"Rubella virus antigen-containing vaccine product","Rubella vaccine, live attenuated, unspecified"
SNOMED-CT-836389008,VAC0133,"Vaccinia virus antigen-containing vaccine product","Smallpox vaccine, unspecified"
SNOMED-CT-836390004,VAC0112,"Salmonella enterica subspecies enterica serovar Typhi antigen-containing vaccine product","Typhoid vaccine, unspecified"
SNOMED-CT-836393002,VAC0131,"Rabies lyssavirus antigen-containing vaccine product","Rabies vaccine, unspecified"
SNOMED-CT-836397001,VAC0896,"Coxiella burnetii antigen-containing vaccine product","Q fever vaccine, unspecified"
SNOMED-CT-836398006,VAC0157,"Streptococcus pneumoniae antigen-containing vaccine product","Pneumococcal vaccine, unspecified"
SNOMED-CT-836400005,VAC0894,"Adenovirus antigen-containing vaccine product","Adenovirus vaccine, unspecified"
